quad,quadcnv,DnstySt,Pcode,year,UNIQUE,ww_yield,dsnumeric,farm
31,0,m,01_grid_1,2014,01_grid_1_2014,12.67406731,2,01
62,1,m,01_grid_1,2014,01_grid_1_2014,12.57790196,2,01
93,2,m,01_grid_1,2014,01_grid_1_2014,12.69633721,2,01
124,3,m,01_grid_1,2014,01_grid_1_2014,12.43522115,2,01
155,4,m,01_grid_1,2014,01_grid_1_2014,12.50569091,2,01
186,5,l,01_grid_1,2014,01_grid_1_2014,11.42397368,1,01
217,6,l,01_grid_1,2014,01_grid_1_2014,10.69420513,1,01
248,7,l,01_grid_1,2014,01_grid_1_2014,12.44410256,1,01
279,8,l,01_grid_1,2014,01_grid_1_2014,12.413125,1,01
310,9,m,01_grid_1,2014,01_grid_1_2014,12.05456944,2,01
341,10,l,01_grid_1,2014,01_grid_1_2014,12.5399359,1,01
372,11,l,01_grid_1,2014,01_grid_1_2014,12.155,1,01
403,12,m,01_grid_1,2014,01_grid_1_2014,12.04292105,2,01
434,13,m,01_grid_1,2014,01_grid_1_2014,12.13903846,2,01
465,14,l,01_grid_1,2014,01_grid_1_2014,12.16348718,1,01
496,15,m,01_grid_1,2014,01_grid_1_2014,12.06924324,2,01
527,16,m,01_grid_1,2014,01_grid_1_2014,12.12341026,2,01
558,17,l,01_grid_1,2014,01_grid_1_2014,12.66694048,1,01
589,18,l,01_grid_1,2014,01_grid_1_2014,12.0275375,1,01
620,19,l,01_grid_1,2014,01_grid_1_2014,5.886867111,1,01
651,20,l,01_grid_1,2014,01_grid_1_2014,6.550722222,1,01
30,21,m,01_grid_1,2014,01_grid_1_2014,12.98815385,2,01
61,22,l,01_grid_1,2014,01_grid_1_2014,12.81887179,1,01
92,23,m,01_grid_1,2014,01_grid_1_2014,13.17732,2,01
123,24,l,01_grid_1,2014,01_grid_1_2014,13.15804054,1,01
154,25,m,01_grid_1,2014,01_grid_1_2014,12.33312195,2,01
185,26,l,01_grid_1,2014,01_grid_1_2014,12.32760909,1,01
216,27,m,01_grid_1,2014,01_grid_1_2014,13.12641818,2,01
247,28,l,01_grid_1,2014,01_grid_1_2014,13.46496429,1,01
278,29,l,01_grid_1,2014,01_grid_1_2014,13.16216071,1,01
309,30,l,01_grid_1,2014,01_grid_1_2014,13.2135,1,01
340,31,l,01_grid_1,2014,01_grid_1_2014,14.3540614,1,01
371,32,l,01_grid_1,2014,01_grid_1_2014,13.80953,1,01
402,33,l,01_grid_1,2014,01_grid_1_2014,13.01668269,1,01
433,34,l,01_grid_1,2014,01_grid_1_2014,13.641,1,01
464,35,l,01_grid_1,2014,01_grid_1_2014,12.43349057,1,01
495,36,l,01_grid_1,2014,01_grid_1_2014,12.79435714,1,01
526,37,m,01_grid_1,2014,01_grid_1_2014,12.71297,2,01
557,38,l,01_grid_1,2014,01_grid_1_2014,12.95111224,1,01
588,39,l,01_grid_1,2014,01_grid_1_2014,12.20877273,1,01
619,40,l,01_grid_1,2014,01_grid_1_2014,7.405076977,1,01
650,41,l,01_grid_1,2014,01_grid_1_2014,9.667555556,1,01
29,42,l,01_grid_1,2014,01_grid_1_2014,13.293725,1,01
60,43,m,01_grid_1,2014,01_grid_1_2014,13.62270513,2,01
91,44,m,01_grid_1,2014,01_grid_1_2014,13.63119231,2,01
122,45,l,01_grid_1,2014,01_grid_1_2014,13.5945,1,01
153,46,m,01_grid_1,2014,01_grid_1_2014,13.73255405,2,01
184,47,l,01_grid_1,2014,01_grid_1_2014,13.74771951,1,01
215,48,l,01_grid_1,2014,01_grid_1_2014,13.32342105,1,01
246,49,l,01_grid_1,2014,01_grid_1_2014,13.55636585,1,01
277,50,m,01_grid_1,2014,01_grid_1_2014,13.78490244,2,01
308,51,l,01_grid_1,2014,01_grid_1_2014,13.2767381,1,01
339,52,m,01_grid_1,2014,01_grid_1_2014,13.42697561,2,01
370,53,l,01_grid_1,2014,01_grid_1_2014,13.40580263,1,01
401,54,l,01_grid_1,2014,01_grid_1_2014,13.81560256,1,01
432,55,l,01_grid_1,2014,01_grid_1_2014,13.56004054,1,01
463,56,l,01_grid_1,2014,01_grid_1_2014,13.70332927,1,01
494,57,l,01_grid_1,2014,01_grid_1_2014,13.75818293,1,01
525,58,l,01_grid_1,2014,01_grid_1_2014,13.58312195,1,01
556,59,l,01_grid_1,2014,01_grid_1_2014,13.3340814,1,01
587,60,l,01_grid_1,2014,01_grid_1_2014,12.71257955,1,01
618,61,l,01_grid_1,2014,01_grid_1_2014,11.46819,1,01
649,62,l,01_grid_1,2014,01_grid_1_2014,9.02275,1,01
28,63,l,01_grid_1,2014,01_grid_1_2014,7.11545,1,01
59,64,m,01_grid_1,2014,01_grid_1_2014,10.50785227,2,01
90,65,l,01_grid_1,2014,01_grid_1_2014,13.12557955,1,01
121,66,l,01_grid_1,2014,01_grid_1_2014,13.26135556,1,01
152,67,l,01_grid_1,2014,01_grid_1_2014,13.41553571,1,01
183,68,l,01_grid_1,2014,01_grid_1_2014,13.80502381,1,01
214,69,l,01_grid_1,2014,01_grid_1_2014,13.69462195,1,01
245,70,l,01_grid_1,2014,01_grid_1_2014,13.3737093,1,01
276,71,l,01_grid_1,2014,01_grid_1_2014,13.816125,1,01
307,72,l,01_grid_1,2014,01_grid_1_2014,14.01344595,1,01
338,73,l,01_grid_1,2014,01_grid_1_2014,14.14945,1,01
369,74,l,01_grid_1,2014,01_grid_1_2014,13.91144048,1,01
400,75,l,01_grid_1,2014,01_grid_1_2014,14.34344444,1,01
431,76,l,01_grid_1,2014,01_grid_1_2014,14.02310976,1,01
462,77,l,01_grid_1,2014,01_grid_1_2014,13.63575676,1,01
493,78,l,01_grid_1,2014,01_grid_1_2014,13.71214103,1,01
